;BP;Status;Batch;Date;Model;Change;Operation;Part number;Chinese Part Name;English Part Name;Workshop;Comments
407;BP25002623;;;2026-02-02;A01G-R-1;;Update;Q32006FDE;六角法兰面螺母;HEX FLANGE NUT;AS; after the inventory is consumed
408;BP25002623;;;2026-02-02;A01G-R-1;;Update;Q32006FDE;六角法兰面螺母;HEX FLANGE NUT;AS; after the inventory is consumed
409;BP25002623;;;2026-02-02;A01G-R-1;;Add;5532011-P00;十字槽平头塑料螺钉;CROSS PAN HEAD PLASTIC WASHER SCREW;AS; after the inventory is consumed
410;BP25002623;;;2026-02-02;A01G-R-1;;Update;5532011-P00;十字槽平头塑料螺钉;CROSS PAN HEAD PLASTIC WASHER SCREW;AS; after the inventory is consumed
411;BP25002623;;;2026-02-02;A01G-R-1;;Add;5532012-P00;塑料卡扣;PLASTIC CLIP;AS; after the inventory is consumed
412;BP25002623;;;2026-02-02;A01G-R-1;;Update;5532012-P00;塑料卡扣;PLASTIC CLIP;AS; after the inventory is consumed
413;BP25002623;;;2026-02-02;A01G-R-1;;Replace;7925113XST11A;车载无线终端;T-BOX;AS; after the inventory is consumed
414;BP25002623;;;2026-02-02;A01G-R-1;;Update;7925113XST11A;车载无线终端;T-BOX;AS; after the inventory is consumed
415;BP25002623;;;2026-02-02;A01G-R-1;;Delete;7925111XST11A;车载无线终端;T-BOX;AS; after the inventory is consumed
416;BP25002623;;;2026-02-02;A01G-R-1;;Delete;S026A01XST33006;车载无线终端软件;SOFTWARE,T-BOX;AS; after the inventory is consumed
417;BP25002623;;;2026-02-02;A01G-R-1;;Delete;4004101XST33B;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
418;BP25002623;;;2026-02-02;A01G-R-1;;Update;4004101XST33A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
419;BP25002623;;;2026-02-02;A01G-R-1;;Update;4004101XST33A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
420;BP25002623;;;2026-02-02;A01G-R-1;;Add;4004102XST33A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
421;BP25002623;;;2026-02-02;A01G-R-1;;Replace;4004102XST33B;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
422;BP25002623;;;2026-02-02;A01G-R-1;;Add;4004103XST33A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
423;BP25002623;;;2026-02-02;A01G-R-1;;Replace;4004103XST33B;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
424;BP25002623;;;2026-02-02;A01G-R-1;;Add;4004104XST33A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
425;BP25002623;;;2026-02-02;A01G-R-1;;Replace;4004104XST33B;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
426;BP25002623;;;2026-02-02;A01G-R-1;;Add;4004105XST33A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
427;BP25002623;;;2026-02-02;A01G-R-1;;Replace;4004105XST33B;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
428;BP25002623;;;2026-02-02;A01G-R-1;;Add;4004106XST33A;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
429;BP25002623;;;2026-02-02;A01G-R-1;;Replace;4004106XST33B;座舱线束总成;HARN ASSY,PASSENGER CABIN;AS; after the inventory is consumed
430;BP25000490;;RKY1589;2025-06-01;B06-R;;Add;6103100XKN46A;左前门玻璃总成;GLASS ASSY,LH FR DOOR;AS;
431;BP25000490;;RKY1589;2025-06-01;B06-R;;Add;6203300XKN46A;左后门玻璃总成;GLASS ASSY,LH RR DOOR;AS;
432;BP25000490;;RKY1589;2025-06-01;B06-R;;Add;6203100XKN46A;左后门玻璃总成;GLASS ASSY,LH RR DOOR;AS;
433;BP25000490;;RKY1589;2025-06-01;B06-R;;Add;6103200XKN46A;右前门玻璃总成;GLASS ASSY,RH FR DOOR;AS;
434;BP25000490;;RKY1589;2025-06-01;B06-R;;Add;6203400XKN46A;右后门玻璃总成;GLASS ASSY,RH RR DOOR;AS;
435;BP25000490;;RKY1589;2025-06-01;B06-R;;Add;6203200XKN46A;右后门玻璃总成;GLASS ASSY,RH RR DOOR;AS;
436;BP25000490;;RKY1589;2025-06-01;B06-R;;Delete;6103101XKN04B;左前门玻璃;GLASS,LH FR DOOR;AS;
437;BP25000490;;RKY1589;2025-06-01;B06-R;;Delete;6103102XKN04B;右前门玻璃;GLASS,RH FR DOOR;AS;
438;BP25000490;;RKY1589;2025-06-01;B06-R;;Delete;6203100XKN04B;左后门玻璃总成;GLASS ASSY,LH RR DOOR;AS;
439;BP25000490;;RKY1589;2025-06-01;B06-R;;Delete;6203100XKN45B;左后门玻璃总成;GLASS ASSY,LH RR DOOR;AS;
440;BP25000490;;RKY1589;2025-06-01;B06-R;;Delete;6203200XKN45B;右后门玻璃总成;GLASS ASSY,RH RR DOOR;AS;
441;BP25000490;;RKY1589;2025-06-01;B06-R;;Delete;6203200XKN04B;右后门玻璃总成;GLASS ASSY,RH RR DOOR;AS;
442;BP25000646;;RBK0002;2025-04-22;B04-R;;Add;S017A06XVC01003;车辆稳定系统软件;SOFTWARE,ESP CONTROL;AS;
443;BP24011086;;RAS0966;2025-06-01;A01G-R;;Add;1201563XGW02B;主消声器分总成;MAIN MUFFLER SUB-ASSY;SW;
444;BP24011086;;RAS0966;2025-06-01;A01G-R;;Add;1201103XST11A;主消声器总成;MAIN MUFFLER ASSY;AS;
445;BP24011086;;RAS0966;2025-06-01;A01G-R;;Delete;1201109XGW02A;主消声器总成;MAIN MUFFLER ASSY;AS;
446;BP24011086;;RAS0966;2025-06-01;A01G-R;;Delete;1201563XGW02A;主消声器分总成;MAIN MUFFLER SUB-ASSY;SW;
447;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304107XKN02A;海绵条;SPONGE STRIP;AS;
448;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304106XKN02A;海绵条;SPONGE STRIP;AS;
449;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304103XKN02A;海绵条;SPONGE STRIP;AS;
450;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304116XKN02A;海绵条;SPONGE STRIP;AS;
451;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304118XKN02A;海绵条;SPONGE STRIP;AS;
452;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304104XKN02A;海绵条;SPONGE STRIP;AS;
453;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304117XKN02A;海绵条;SPONGE STRIP;AS;
454;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304105XKN02A;海绵条;SPONGE STRIP;AS;
455;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304122XKN02A;海绵条;SPONGE STRIP;AS;
456;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304120XKN02A;海绵条;SPONGE STRIP;AS;
457;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304119XKN02A;海绵条;SPONGE STRIP;AS;
458;BP24011470;;RBC0230;2025-07-29;B02-R;;Add;5304100XKN02A;通风盖板总成;VENT COVER ASSY;AS;
459;BP24011470;;RBC0230;2025-07-29;B02-R;;Update;5304100XKN02A;通风盖板总成;VENT COVER ASSY;AS;
460;BP24011972;;RBB0234;2025-07-29;B02-R;;Replace;S010A01ANW50003;组合开关软件;SOFTWARE,COMB SW ASSY;AS;
461;BP24011972;;RBB0234;2025-07-29;B02-R;;Replace;S010A01ANW50007;组合开关软件;SOFTWARE,COMB SW ASSY;AS;
462;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304107XKN02A;海绵条;SPONGE STRIP;AS;
463;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304106XKN02A;海绵条;SPONGE STRIP;AS;
464;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304103XKN02A;海绵条;SPONGE STRIP;AS;
465;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304116XKN02A;海绵条;SPONGE STRIP;AS;
466;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304118XKN02A;海绵条;SPONGE STRIP;AS;
467;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304104XKN02A;海绵条;SPONGE STRIP;AS;
468;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304117XKN02A;海绵条;SPONGE STRIP;AS;
469;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304105XKN02A;海绵条;SPONGE STRIP;AS;
470;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304122XKN02A;海绵条;SPONGE STRIP;AS;
471;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304120XKN02A;海绵条;SPONGE STRIP;AS;
472;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304119XKN02A;海绵条;SPONGE STRIP;AS;
473;BP24012187;;RBK0011;2025-06-01;B04-R;;Add;5304100XKN02A;通风盖板总成;VENT COVER ASSY;AS;
474;BP24012187;;RBK0011;2025-06-01;B04-R;;Replace;5304100XKN02A;通风盖板总成;VENT COVER ASSY;AS;
475;BP25001129;;RBE0224;2025-07-23;B02;;Update;7925100XKN61A;车载无线终端;T-BOX;AS;
476;BP25001129;;RBE0224;2025-07-23;B02;;Replace;7925109XKN61A;车载无线终端;T-BOX;AS;
477;BP25002731;;RKY1616;2025-06-01;B06-R;;Add;S026A03XKN46001;车载无线终端软件;SOFTWARE,T-BOX;AS;"Модель B06-R не переключена;"
478;BP25002731;;RHA1608;2025-04-02;B06-X;;Add;S026A03XKN46001;车载无线终端软件;SOFTWARE,T-BOX;AS;"Модель B06-X переключена;"
479;BP25002734;;RKY1616;2025-06-01;B06-R;;Add;7925103XKN46A;车载无线终端总成;ASSY,T-BOX;AS;"Модель B06-R не переключена;"
480;BP25002734;;RKY1616;2025-06-01;B06-R;;Delete;7925102XKN45A;车载无线终端总成;ASSY,T-BOX;AS;"Модель B06-R не переключена;"
481;BP25002734;;RHA1608;2025-04-02;B06-X;;Add;7925103XKN46A;车载无线终端总成;ASSY,T-BOX;AS;"Модель B06-X переключена;"
482;BP25002734;;RHA1608;2025-04-02;B06-X;;Delete;7925102XKN45A;车载无线终端总成;ASSY,T-BOX;AS;"Модель B06-X переключена;"
483;BP24006885;;RAM0989;2025-08-01;A01G-R;;Add;5102100XKN04A;贴片;CHAFING PIECE ;AS;
484;BP25003606;;RAM0989;2025-07-08;A01G-R;;Delete;Q184U1025FDE;六角法兰面螺栓;HEX FLANGE BOLT;SW;
485;BP25003606;;RAM0989;2025-07-08;A01G-R;;Update;Q184U1025FDE;六角法兰面螺栓;HEX FLANGE BOLT;SW;
486;BP25003606;;RAM0989;2025-07-08;A01G-R;;Add;Q184U1025TFDE;六角法兰面螺栓;HEX FLANGE BOLT;AS;
487;BP25003606;;RAM0989;2025-07-08;A01G-R;;Delete;Q184U1025FDE;六角法兰面螺栓;HEX FLANGE BOLT;SW;
488;BP25003606;;RAM0989;2025-07-08;A01G-R;;Delete;Q184U1025FDE;六角法兰面螺栓;HEX FLANGE BOLT;AS;
489;BP25000960;;RBK0002;2025-04-22;B04-R;;Add;S016A01XKN02004;电动助力转向系统软件;SOFTWARE,ELECTRIC POWER STEERING CONTROL;AS;
490;BP25000960;;RBK0002;2025-04-22;B04-R;;Replace;S016A01XKN02005;电动助力转向系统软件;SOFTWARE,ELECTRIC POWER STEERING CONTROL;AS;
491;BP25003841;;RBK0002;2025-04-22;B04-R;;Add;7925109XKN61A;车载无线终端;T-BOX;AS;
492;BP25003841;;RBK0002;2025-04-22;B04-R;;Delete;7925100XKN61A;车载无线终端;T-BOX;AS;
493;BP25003841;;RBK0002;2025-04-22;B04-R;;Delete;S026A01XKN61003;车载无线终端软件;SOFTWARE,T-BOX;AS;
494;BP25003841;;RBK0002;2025-04-22;B04-R;;Add; S026A01AKN61002;车载无线终端软件;SOFTWARE,T-BOX;AS;
495;BP25003605;;RAR0993;2025-07-01;A01G-R-1;;Replace;S088A01XST01005;防撞雷达控制软件;SOFTWARE,ANTIC RADAR CONTROL;AS;
496;BP25003605;;RAR0993;2025-07-01;A01G-R-1;;Replace;S088A01XST01004;防撞雷达控制软件;SOFTWARE,ANTIC RADAR CONTROL;AS;
497;BP25003667;;HSZ0003;2025-06-01;A08-R;;Add;S018A01XKJ23001;智能座舱软件;SOFTWARE,INTELLIGENT PASSENGER CABIN;AS;
498;BP25003667;;HSZ0003;2025-06-01;A08-R;;Replace;S018A01XKJ22006;智能座舱软件;SOFTWARE,INTELLIGENT PASSENGER CABIN;AS;
499;BP25003667;;HSZ0003;2025-06-01;A08-R;;Update;S018A01XKJ22006;智能座舱软件;SOFTWARE,INTELLIGENT PASSENGER CABIN;AS;
500;BP25003728;;RBG0064;2025-07-01;B16-R;;Delete;09360014;平头半六角铆螺母;FLAT HEX RIVET NUT;SW;
501;BP25003876;;RAM0990;2025-07-01;A01G-R-1;;Add;7008200XST01A8P;后排座椅中头枕装配总成;FITING ASSY,RR ROW SEAT CTR HEADREST;COMP;
502;BP25003876;;RAM0990;2025-07-01;A01G-R-1;;Delete;7008200XST01A8P;后排座椅中头枕装配总成;FITING ASSY,RR ROW SEAT CTR HEADREST;COMP;
503;BP25003876;;RAM0990;2025-07-01;A01G-R-1;;Delete;7008200XST01AQT;后排座椅中头枕装配总成;FITING ASSY,RR ROW SEAT CTR HEADREST;COMP;
504;BP25003876;;RAM0990;2025-07-01;A01G-R-1;;Delete;7008200XST01AVL;后排座椅中头枕装配总成;FITING ASSY,RR ROW SEAT CTR HEADREST;COMP;
505;BP24012178;;RBA0250;2025-08-01;B02-R;Before change;;S012A01AKN02002;副驾驶侧门模块软件;SOFTWARE,PASSENGER DOOR CONTROL MODULE;AS;
506;BP24012178;;RBA0250;2025-08-01;B02-R;After Change;;S012A01AKN02003;副驾驶侧门模块软件;SOFTWARE,PASSENGER DOOR CONTROL MODULE;AS;
507;BP24012178;;RBA0250;2025-08-01;B02-R;Before change;;S011A01AKN02002;驾驶侧门模块软件;SOFTWARE,DRIVER DOOR CONTROL MODULE;AS;
508;BP24012178;;RBA0250;2025-08-01;B02-R;After Change;;S011A01AKN02003;驾驶侧门模块软件;SOFTWARE,DRIVER DOOR CONTROL MODULE;AS;
509;BP25000489;;RKY1617;2025-07-01;B06-R;;Add;09620004-86;叶片型卡扣;TREE CLIP;AS;
510;BP25000489;;RKY1617;2025-07-01;B06-R;;Delete;09620004-86;叶片型卡扣;TREE CLIP;AS;
511;BP25000489;;RKY1617;2025-07-01;B06-R;;Delete;09620004-86;叶片型卡扣;TREE CLIP;AS;
512;BP25000645;;RHB1622;2025-07-01;B06-R;;Add;Q1460620F71E;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
513;BP25000645;;RHB1622;2025-07-01;B06-R;;Delete;Q1460620FDHE;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
514;BP25000730;;RBG0034;2025-05-14;B16-R;Before change;;Q33008FDE;全金属六角法兰面锁紧螺母;ALL METAL FLANGE HEX NUT;AS;
515;BP25000730;;RBG0034;2025-05-14;B16-R;After Change;;Q32008F3E;六角法兰面螺母;HEX FLANGE NUT;AS;
516;BP25000732;;RBG0034;2025-05-14;B16-R;;Delete;Q1860612FDE;六角法兰面螺栓-加大系列;HEX FLANGE BOLT-HEAVY;AS;
517;BP25000732;;RBG0034;2025-05-14;B16-R;;Add;C1550616FDE;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
518;BP25000735;;RBG0038;2025-05-28;B16-R;;Add;S018A02XKN83002;智能座舱软件;SOFTWARE,INTELLIGENT PASSENGER CABIN;AS;
519;BP25000738;;RLV0170;2025-07-01;A08-R;;Add;Q184U1025TFDE;六角法兰面螺栓;HEX FLANGE BOLT;AS;
520;BP25000738;;RLV0170;2025-07-01;A08-R;;Delete;Q184U1025FDE;六角法兰面螺栓;HEX FLANGE BOLT;SW;
521;BP25000738;;RLV0170;2025-07-01;A08-R;;Update;Q184U1025FDE;六角法兰面螺栓;HEX FLANGE BOLT;AS;
522;BP25000738;;RLV0170;2025-07-01;A08-R;;Delete;Q184U1025FDE;六角法兰面螺栓;HEX FLANGE BOLT;SW;
523;BP25000738;;RLV0170;2025-07-01;A08-R;;Delete;Q184U1025FDE;六角法兰面螺栓;HEX FLANGE BOLT;SW;
524;BP25000740;;RLV0170;2025-07-01;A08-R;Before change;;Q1860612FDE;六角法兰面螺栓-加大系列;HEX FLANGE BOLT-HEAVY;AS;
525;BP25000740;;RLV0170;2025-07-01;A08-R;After Change;;Q1460616FDE;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
526;BP25000954;;RBB0227;2025-07-28;B02-R;;Add;5402220XKN02B8P;右B柱上饰板总成;PANEL ASSY,RH B PILLAR TRIM,UPR;AS;
527;BP25000954;;RBB0227;2025-07-28;B02-R;;Add;5402210XKN02B8P;左B柱上饰板总成;PANEL ASSY,LH B PILLAR TRIM,UPR;AS;
528;BP25000954;;RBB0227;2025-07-28;B02-R;;Delete;5402220XKN02A8P;右B柱上饰板总成;PANEL ASSY,RH B PILLAR TRIM,UPR;AS;
529;BP25000954;;RBB0227;2025-07-28;B02-R;;Delete;5402210XKN02A8P;左B柱上饰板总成;PANEL ASSY,LH B PILLAR TRIM,UPR;AS;
530;BP25001015;;RBH0035;2025-05-19;B16-R;;Add;S090A03XKN81002;全景融合泊车控制软件;SOFTWARE,HPA CONTROL;AS;
531;BP25001015;;RBH0035;2025-05-19;B16-R;;Replace;S090A03XKN81003;全景融合泊车控制软件;SOFTWARE,HPA CONTROL;AS;
532;BP25001176;;RBB0245;2025-08-01;B02-R;;Add;6301600XKN02D;后背门钣金总成;TAIL GATE ASSY;AS;
533;BP25001176;;RBB0245;2025-08-01;B02-R;;Replace;6301101XKN02C;后背门外板上段;OTR PLATE,TAIL GATE,UPR;SW;
534;BP25001176;;RBB0245;2025-08-01;B02-R;;Replace;6301101XKN02D;后背门外板上段;OTR PLATE,TAIL GATE,UPR;SW;
535;BP25001176;;RBB0245;2025-08-01;B02-R;;Delete;6301600XKN02C;后背门钣金总成;TAIL GATE ASSY;AS;
536;BP25001176;;RBB0245;2025-08-01;B02-R;;Add;5614114XKN02A;海绵块;SPONGE BLOCK;SW;
537;BP25001176;;RBB0245;2025-08-01;B02-R;;Add;5614115XKN02A;海绵块;SPONGE BLOCK;SW;
538;BP25001176;;RBB0245;2025-08-01;B02-R;;Delete;5614115XKN02A;海绵块;SPONGE BLOCK;SW;
539;BP25001176;;RBB0245;2025-08-01;B02-R;;Delete;5614114XKN02A;海绵块;SPONGE BLOCK;SW;
540;BP25001176;;RBB0245;2025-08-01;B02-R;;Add;Q1840610FDE;六角法兰面螺栓;HEX FLANGE BOLT;SW;
541;BP25001176;;RBB0245;2025-08-01;B02-R;;Update;Q1840610FDE;六角法兰面螺栓;HEX FLANGE BOLT;SW;
542;BP25001176;;RBB0245;2025-08-01;B02-R;;Add;5614100XKN02C8T;导流板总成;DEFLECTOR ASSY;AS;
543;BP25001176;;RBB0245;2025-08-01;B02-R;;Add;5614100XKN02CC3;导流板总成;DEFLECTOR ASSY;AS;
544;BP25001176;;RBB0245;2025-08-01;B02-R;;Add;5614100XKN02CH4;导流板总成;DEFLECTOR ASSY;AS;
545;BP25001176;;RBB0245;2025-08-01;B02-R;;Add;5614100XKN02C9C;导流板总成;DEFLECTOR ASSY;AS;
546;BP25001176;;RBB0245;2025-08-01;B02-R;;Delete;5614100XKN02BC3;导流板总成;DEFLECTOR ASSY;AS;
547;BP25001176;;RBB0245;2025-08-01;B02-R;;Delete;5614100XKN02B9C;导流板总成;DEFLECTOR ASSY;AS;
548;BP25001176;;RBB0245;2025-08-01;B02-R;;Delete;5614100XKN02B8T;导流板总成;DEFLECTOR ASSY;AS;
549;BP25001176;;RBB0245;2025-08-01;B02-R;;Delete;5614100XKN02BH4;导流板总成;DEFLECTOR ASSY;AS;
550;BP25001185;;RBG0041;2025-06-10;B16-R;;Delete;7000103XKN81A8P;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
551;BP25001185;;RBG0041;2025-06-10;B16-R;;Add;7000107XKN81A8P;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
552;BP25001187;;RBF0046;2025-07-03;B16-R;;Add;7000105XKN81A8P;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
553;BP25001187;;RBF0046;2025-07-03;B16-R;;Delete;7000101XKN81A8P;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
554;BP25001189;;RBH0042;2025-06-11;B16-R;;Add;7000108XKN81A8P;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
555;BP25001189;;RBH0042;2025-06-11;B16-R;;Delete;7000104XKN81A8P;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
556;BP25001190;;RBH0048;2025-06-05;B16-R;;Delete;7000104XKN81AC0F;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
557;BP25001190;;RBH0048;2025-06-05;B16-R;;Add;7000108XKN81AC0F;后排左座椅靠背总成;BACKREST ASSY,RR ROW LH SEAT;AS;
558;BP25001362;;RBH0049;2025-07-17;B16-R;;Add;7913100XKN61A;地图软件包;SOFTWARE PACKAGE,MAP;AS;
559;BP25001405;;RBK0001;2025-03-10;B04-R;Before change;;S066A01XKN62001;后背门控制软件;SOFTWARE,TAIL GATE CONTROL;AS;
560;BP25001405;;RBK0001;2025-03-10;B04-R;After Change;;S066A01XKN62002;后背门控制软件;SOFTWARE,TAIL GATE CONTROL;AS;
561;BP25001602;;RAN0913;2025-06-06;A01;Before change;;S018A01XST10024;智能座舱软件;SOFTWARE,INTELLIGENT PASSENGER CABIN;AS;
562;BP25001602;;RAN0913;2025-06-06;A01;After Change;;S018A01XST10027;智能座舱软件;SOFTWARE,INTELLIGENT PASSENGER CABIN;AS;
563;BP25001624;;RHB1620;2025-08-01;B06-R;;Add;S066C04XKN04003;后背门控制软件;SOFTWARE,TAIL GATE CONTROL;AS;
564;BP25001624;;RHB1620;2025-08-01;B06-R;;Delete;S066C03XKN04002;后背门控制软件;SOFTWARE,TAIL GATE CONTROL;AS;
565;BP25001624;;RHB1620;2025-08-01;B06-R;;Replace;S066A04XKN04002;后背门控制软件;SOFTWARE,TAIL GATE CONTROL;AS;
566;BP25001624;;RHB1620;2025-08-01;B06-R;;Replace;S066A04XKN04003;后背门控制软件;SOFTWARE,TAIL GATE CONTROL;AS;
567;BP25001845;;RBH0042;2025-06-11;B16-R;;Delete;Q1840612FDHE;六角法兰面螺栓;HEX FLANGE BOLT;AS;
568;BP25001845;;RBH0042;2025-06-11;B16-R;;Add;Q1860612F71E;六角法兰面螺栓-加大系列;HEX FLANGE BOLT-HEAVY;AS;
569;BP25002042;;RBA0233;2025-07-01;B02-R;;Update;Q1460620FDHE;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
570;BP25002042;;RBA0233;2025-07-01;B02-R;;Replace;Q1460620F71E;六角头螺栓、弹簧垫圈和平垫圈组合件;HEX HEAD SPRING&FLAT WASHER BOLT;AS;
571;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
572;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
573;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
574;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
575;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
576;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
577;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
578;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
579;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6102530XKJ20A;左前门内水切总成;BELT WEATHERSTRIP ASSY,LH FR DOOR,INR;AS;
580;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;6102530XKJ20A;左前门内水切总成;BELT WEATHERSTRIP ASSY,LH FR DOOR,INR;AS;
581;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6102103XKJ20A;左前门防水膜;WATERPROOF FILM,LH FR DOOR;AS;
582;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;6102103XKJ20A;左前门防水膜;WATERPROOF FILM,LH FR DOOR;AS;
583;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
584;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
585;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
586;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
587;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
588;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;09320041;塑料螺母和海绵垫圈组合件;PLASTIC SPONGE WASHER NUT;AS;
589;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
590;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q2734816F31E;十字槽大半圆头自攻螺钉;CROSS MUSHROOM HEAD TAPPING SCREW;AS;
591;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6202530XKJ20A;左后门内水切总成;BELT WEATHERSTRIP ASSY,LH RR DOOR,INR;AS;
592;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;6202530XKJ20A;左后门内水切总成;BELT WEATHERSTRIP ASSY,LH RR DOOR,INR;AS;
593;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;6202103XKJ20A;左后门防水膜;WATERPROOF FILM,LH RR DOOR;AS;
594;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;6202103XKJ20A;左后门防水膜;WATERPROOF FILM,LH RR DOOR;AS;
595;BP25002911;;RLV0169;2025-07-01;A08-R;;Add;Q1840620F3E;六角法兰面螺栓;HEX FLANGE BOLT;AS;
596;BP25002911;;RLV0169;2025-07-01;A08-R;;Update;Q1840620F3E;六角法兰面螺栓;HEX FLANGE BOLT;AS;
